T-BO-001 | NAV & Fund Accounting | Lấy giá đóng cửa tại ngày giao dịch gần nhất của từng cổ phiếu trong danh mục trước ngày định giá | PP:  | Ref: _raw/company/baovietfund-bvfed-ban-cao-bach-2018-11.pdf#p72
T-BO-028 | NAV & Fund Accounting | Tập hợp tài liệu; số liệu; giải trình theo yêu cầu của kiểm toán viên trong đợt kiểm toán | PP:  | Ref: _raw/jd/jobed-ai-jd-fund-accountant.md
T-BO-029 | NAV & Fund Accounting | Thu thập giá tài sản; áp dụng phương pháp định giá; tổng hợp NAV theo lịch định giá | PP:  | Ref: _raw/jd/jobed-ai-jd-fund-accountant.md
T-BO-030 | NAV & Fund Accounting | So sánh số dư tiền và chứng khoán giữa hệ thống kế toán nội bộ với xác nhận từ ngân hàng giám sát/lưu ký | PP:  | Ref: _raw/jd/jobed-ai-jd-fund-accountant.md; _raw/jd/hdcap-van-hanh.html
T-BO-031 | Transfer Agency & Nhà đầu tư | Thực hiện giám sát và kiểm tra cơ cấu danh mục đầu tư bảo đảm không vượt quá tỷ lệ quy định | PP: Cơ cấu danh mục đầu tư của quỹ vượt quá tỷ lệ theo quy định; dẫn đến vi phạm không tuân thủ tỷ lệ đầu tư và bị xử phạt | Ref: _raw/enforcement/kinhtetieudung-mb-penalty.md
T-BO-032 | Reconciliation & Settlement | Đối chiếu chi tiết thông tin lệnh giao dịch nội bộ với thông báo kết quả giao dịch tạm tính từ VSDC | PP:  | Ref: _raw/legal/vbma-qd39.pdf
T-BO-033 | Reconciliation & Settlement | Xác nhận có đủ hoặc không có đủ tiền/chứng khoán để thanh toán các giao dịch đã khớp lệnh | PP:  | Ref: _raw/legal/vbma-qd39.pdf
T-BO-034 | Reconciliation & Settlement | Lập đề nghị vay Quỹ hỗ trợ thanh toán khi thiếu tiền thanh toán bù trừ chứng khoán | PP:  | Ref: _raw/legal/vbma-qd39.pdf
T-BO-035 | Reconciliation & Settlement | Thực hiện thủ tục vay chứng khoán trên hệ thống VSDC trước 09h00 ngày thanh toán khi bị thiếu hụt | PP:  | Ref: _raw/legal/vbma-qd39.pdf
T-BO-036 | Reconciliation & Settlement | Phối hợp với VSDC xử lý lùi thời hạn hoặc loại bỏ giao dịch khi không thể vay đủ chứng khoán | PP:  | Ref: _raw/legal/vbma-qd39.pdf
T-BO-037 | Reconciliation & Settlement | Phân bổ chính xác tiền và chứng khoán về tài khoản của khách hàng trước 13h00 ngày thanh toán | PP:  | Ref: _raw/legal/vbma-qd39.pdf
T-BO-038 | Reconciliation & Settlement | Đối chiếu và xác nhận danh sách cổ đông/nhà đầu tư nhận cổ tức và quyền phát sinh từ chứng khoán lưu ký | PP: Bị VSD cảnh cáo do chậm xác nhận danh sách người sở hữu chứng khoán | Ref: _raw/enforcement/tinnhanhchungkhoan-canh-cao.html
T-BO-039 | Reconciliation & Settlement | Làm việc trực tiếp với ngân hàng để thực hiện điều chuyển dòng tiền và quản lý thanh khoản qua chứng chỉ tiền gửi | PP:  | Ref: _raw/jd/ambercapital-ho-tro-van-hanh.html
T-BO-040 | Reconciliation & Settlement | Phối hợp xác định giá; soạn thảo hợp đồng và thực hiện thủ tục sang tên chứng khoán OTC | PP:  | Ref: _raw/jd/ambercapital-ho-tro-van-hanh.html
T-BO-041 | Reconciliation & Settlement | Nhận ký gửi và bảo quản chứng khoán của khách hàng trên hệ thống tài khoản lưu ký | PP:  | Ref: _raw/legal/vsd-luu-ky-chung-khoan.html
T-BO-042 | Reconciliation & Settlement | Xử lý yêu cầu rút chứng khoán của khách hàng khỏi hệ thống lưu ký tập trung | PP:  | Ref: _raw/legal/vsd-luu-ky-chung-khoan.html
T-BO-043 | Reconciliation & Settlement | Thực hiện chuyển quyền sở hữu chứng khoán bằng ghi sổ không thông qua hệ thống giao dịch | PP:  | Ref: _raw/legal/vsd-luu-ky-chung-khoan.html
T-BO-044 | Reconciliation & Settlement | Thực hiện phong tỏa hoặc giải tỏa chứng khoán theo yêu cầu hợp lệ của khách hàng hoặc cơ quan chức năng | PP:  | Ref: _raw/legal/vsd-luu-ky-chung-khoan.html
T-BO-045 | Transfer Agency & Nhà đầu tư | Tính toán và đối chiếu số liệu hoa hồng trả cho đại lý phân phối chứng chỉ quỹ | PP:  | Ref: _raw/jd/hdcap-van-hanh.html
T-BO-046 | NAV & Fund Accounting | Thực hiện nghiệp vụ giao dịch chứng chỉ quỹ trên hệ thống của công ty và Trung tâm lưu ký | PP:  | Ref: _raw/jd/ambercapital-ho-tro-van-hanh.html
T-BO-047 | Transfer Agency & Nhà đầu tư | Xác nhận quyền sở hữu và lập sổ đăng ký cho nhà đầu tư khi mua CCQ | PP:  | Ref: _raw/legal/thuvienphapluat-TT98-2020-461197.md
T-BO-048 | Transfer Agency & Nhà đầu tư | Tiếp nhận và rà soát lệnh mua bán chuyển đổi chứng chỉ quỹ từ nhà đầu tư | PP:  | Ref: _raw/legal/thuvienphapluat-TT98-2020-461197.md
T-BO-049 | Transfer Agency & Nhà đầu tư | Thu thập và xác minh thông tin định danh của nhà đầu tư khi mở tài khoản | PP:  | Ref: _raw/legal/luatvietnam-luat-pcrt-2022.md
T-BO-050 | Transfer Agency & Nhà đầu tư | Kiểm tra thông tin nhà đầu tư đối chiếu với danh sách cảnh báo đen/cấm giao dịch | PP: Bị phạt tiền từ 20-40 triệu nếu không rà soát trước khi thiết lập quan hệ | Ref: _raw/enforcement/ssc-news-xu-phat-am-2025.md
T-BO-051 | Transfer Agency & Nhà đầu tư | Lập và nộp báo cáo cập nhật rủi ro rửa tiền và kiểm toán nội bộ PCRT định kỳ | PP: Bị phạt hơn 400 triệu đồng nếu không nộp báo cáo | Ref: _raw/enforcement/ambercapital-news-xu-phat-am-2025.md
T-BO-052 | Transfer Agency & Nhà đầu tư | Hướng dẫn và tiếp nhận hồ sơ đăng ký tài khoản giao dịch CCQ của nhà đầu tư | PP:  | Ref: _raw/company/baovietfund-bvfed-ban-cao-bach-2018-11.pdf
T-BO-053 | Transfer Agency & Nhà đầu tư | Tính toán và thu phí phát hành/mua lại/chuyển đổi CCQ theo biểu phí quy định | PP:  | Ref: _raw/company/baovietfund-bvfed-ban-cao-bach-2018-11.pdf
