task_id,tang,khoi_chuc_nang,quy_trinh_cap2,tac_vu_cap3,mo_ta_ngan,input,nguon_input,output,nguoi_nhan_output,role_chinh,role_phu,tan_suat,thoi_luong_uoc_tinh_phut,he_thong_dung,buoc_thu_cong,diem_gay_pain_point,rang_buoc_phap_ly,do_tin_cay(FACT/INFERENCE),source_ids,chi_tiet_ref,can_phong_van,raw_ref,loai_tac_vu
T-BO-012,Back Office,NAV & Fund Accounting,Phí & chi phí quỹ,Trích lập phí quản lý quỹ hàng tháng tính trên NAV; ngân hàng giám sát tự động trích tiền chi trả,Tính phí = 1%/năm × NAV hàng tháng; ngân hàng giám sát trích tiền từ tài khoản quỹ chuyển cho công ty quản lý quỹ,NAV của quỹ tại từng ngày tính phí,Bộ phận kế toán quỹ,Khoản chi phí quản lý quỹ tháng,Công ty quản lý quỹ,Kế toán Quỹ,,Hàng tháng,,,,,Điều lệ Quỹ BVFED 9.2.5.1 — Phí quản lý quỹ 1%/năm,FACT,S-BVFED-001,"Bản cáo bạch BVFED trang 42 (9.2.5.2): ""Ngân hàng Giám sát sẽ tự động trích tiền từ tài khoản của Quỹ để trả cho Công ty Quản lý Quỹ""",Y,_raw/company/baovietfund-bvfed-ban-cao-bach-2018-11.pdf#p42,Vận hành
T-BO-013,Back Office,NAV & Fund Accounting,Mở tài khoản nhà đầu tư,Tổng hợp thông tin KYC nhà đầu tư lần đầu giao dịch và gửi yêu cầu mở tài khoản cho đại lý chuyển nhượng,Thu thập Giấy đề nghị đăng ký giao dịch CCQ từ nhà đầu tư; gửi đại lý chuyển nhượng mở tài khoản,Giấy đề nghị đăng ký giao dịch CCQ của nhà đầu tư (đủ thông tin KYC),Nhà đầu tư (qua đại lý phân phối),Tài khoản giao dịch CCQ được mở tại đại lý chuyển nhượng,Nhà đầu tư,,,Mỗi khi có nhà đầu tư mới,,,,,TT98/2020; quy định KYC phòng chống rửa tiền,FACT,S-BVFED-001,"Bản cáo bạch BVFED trang 36 (9.2.4.2a): ""Đại lý phân phối phải tổng hợp thông tin nhận biết Nhà đầu tư...và gửi yêu cầu cho Đại lý chuyển nhượng mở tài khoản""",Y,_raw/company/baovietfund-bvfed-ban-cao-bach-2018-11.pdf#p36,Vận hành
T-BO-014,Back Office,NAV & Fund Accounting,Báo cáo giao dịch,Gửi bản xác nhận giao dịch CCQ cho nhà đầu tư trong vòng 3 ngày từ ngày giao dịch,Sau ngày giao dịch CCQ; đại lý phân phối gửi thông báo kết quả giao dịch bằng văn bản cho nhà đầu tư,Kết quả giao dịch (số CCQ được phân bổ / số tiền thanh toán),Bộ phận kế toán quỹ,Bản xác nhận giao dịch CCQ gửi nhà đầu tư,Nhà đầu tư,,,Sau mỗi ngày giao dịch — trong vòng 3 ngày,,,,,Điều lệ Quỹ BVFED 9.2.4.2(i) và 9.2.4.3(g),FACT,S-BVFED-001,"Bản cáo bạch BVFED trang 37-38: ""Trong thời hạn 03 ngày kể từ ngày giao dịch CCQ; Đại lý phân phối gửi Nhà đầu tư bản xác nhận giao dịch""",Y,_raw/company/baovietfund-bvfed-ban-cao-bach-2018-11.pdf#p37,Vận hành
T-BO-015,Back Office,NAV & Fund Accounting,Ghi nhận kế toán giao dịch,Ghi nhận biến động dòng tiền vào/ra quỹ và các giao dịch của quỹ vào sổ kế toán,Hạch toán toàn bộ giao dịch của quỹ trong ngày vào hệ thống kế toán,Chứng từ giao dịch của quỹ trong ngày,Nội bộ / Ngân hàng giám sát,Sổ kế toán quỹ cập nhật,Bộ phận kế toán quỹ,Kế toán Quỹ,,Hàng ngày,,,,,"TT98/2020 Khoản 20(a): ""Ghi nhận kế toán các giao dịch của quỹ: ghi nhận biến động phản ánh dòng tiền ra; vào quỹ""",REG,S-TT98-001,TT98/2020 Điều 1 Khoản 20(a) — định nghĩa dịch vụ quản trị quỹ,Y,_raw/legal/thuvienphapluat-TT98-2020-461197.md,Vận hành
T-BO-016,Back Office,NAV & Fund Accounting,Lập báo cáo tài chính quỹ,Lập báo cáo tài chính quỹ theo kỳ và phối hợp với tổ chức kiểm toán trong kiểm toán quỹ,Chuẩn bị số liệu và báo cáo tài chính quỹ định kỳ; hỗ trợ kiểm toán viên trong quá trình kiểm toán,Sổ kế toán quỹ + chứng từ giao dịch,Bộ phận kế toán quỹ,Báo cáo tài chính quỹ (đã kiểm toán),Công ty kiểm toán / Nhà đầu tư,Kế toán Quỹ,,Hàng năm (và bán niên),,,,,"TT98/2020 Khoản 20(b): ""Lập báo cáo tài chính quỹ; phối hợp; hỗ trợ tổ chức kiểm toán của quỹ""",REG,S-TT98-001,TT98/2020 Điều 1 Khoản 20(b) — dịch vụ quản trị quỹ,Y,_raw/legal/thuvienphapluat-TT98-2020-461197.md,Vận hành
T-BO-017,Back Office,NAV & Fund Accounting,Xác định NAV (nghĩa vụ pháp lý),Xác định giá trị tài sản ròng quỹ và NAV trên một lô chứng chỉ quỹ theo quy định pháp luật và điều lệ quỹ,Thực hiện tính NAV theo đúng quy định của TT98 và điều lệ quỹ; bảo đảm tuân thủ phương pháp được Ban đại diện quỹ phê duyệt,Bảng định giá tài sản + thông tin nợ phải trả,Bộ phận kế toán quỹ,NAV và NAV/CCQ hợp lệ theo pháp luật,Ngân hàng giám sát (xác nhận),,,Hàng định kỳ theo điều lệ quỹ,,,,,"TT98/2020 Khoản 20(c): ""Xác định giá trị tài sản ròng của quỹ; giá trị tài sản ròng trên một lô chứng chỉ quỹ""",REG,S-TT98-001,TT98/2020 Điều 1 Khoản 20(c),Y,_raw/legal/thuvienphapluat-TT98-2020-461197.md,Vận hành
T-BO-018,Back Office,NAV & Fund Accounting,Kiểm soát thời điểm đóng sổ lệnh,Bảo đảm đại lý phân phối chỉ nhận lệnh giao dịch CCQ của nhà đầu tư trước thời điểm đóng sổ lệnh theo điều lệ quỹ,Kiểm soát thời gian nhận lệnh; hủy tự động các lệnh đến sau thời điểm đóng sổ; đảm bảo không quá thời điểm đóng cửa Sở Giao dịch Chứng khoán,Phiếu lệnh của nhà đầu tư và dấu thời gian nhận lệnh,Đại lý phân phối,Xác nhận lệnh hợp lệ / từ chối lệnh trễ,Bộ phận kế toán quỹ / Đại lý chuyển nhượng,,,Hàng ngày (ngày giao dịch CCQ),,,,,"TT98/2020: ""Thời điểm đóng sổ lệnh không được muộn quá thời điểm đóng cửa thị trường""",REG,S-TT98-001,TT98/2020 — định nghĩa Thời điểm đóng sổ lệnh,Y,_raw/legal/thuvienphapluat-TT98-2020-461197.md,Vận hành
T-BO-019,Back Office,NAV & Fund Accounting,Rà soát hoạt động đại lý chuyển nhượng,Rà soát hoạt động của đại lý chuyển nhượng theo thỏa thuận để bảo đảm công ty quản lý quỹ tuân thủ quy định pháp luật,Thực hiện rà soát định kỳ hoạt động đại lý chuyển nhượng theo các điều khoản hợp đồng đã ký,Báo cáo hoạt động từ đại lý chuyển nhượng,Đại lý chuyển nhượng (VSD / tổ chức được ủy quyền),Báo cáo rà soát tuân thủ,Công ty quản lý quỹ,,,Định kỳ,,,,,"TT98/2020: ""việc rà soát hoạt động của đại lý chuyển nhượng thực hiện theo thỏa thuận giữa hai bên""",REG,S-TT98-001,TT98/2020 — trách nhiệm rà soát đại lý chuyển nhượng,Y,_raw/legal/thuvienphapluat-TT98-2020-461197.md,Vận hành
T-BO-020,Back Office,NAV & Fund Accounting,Báo cáo nội bộ và UBCKNN,Lập các báo cáo định kỳ theo quy định pháp luật hiện hành gửi UBCKNN và Bộ Tài chính,Cập nhật báo cáo nội bộ; báo cáo gửi nhà đầu tư; và các báo cáo định kỳ theo quy định UBCKNN/BTC,Số liệu kế toán và hoạt động quỹ trong kỳ,Bộ phận kế toán quỹ,Báo cáo định kỳ nộp UBCKNN và BTC,UBCKNN / Bộ Tài chính,Kế toán Quỹ,,Định kỳ (hàng tháng / quý / năm theo quy định),,,,Không báo cáo hoạt động tư vấn đầu tư định kỳ gửi UBCKNN dẫn đến bị xử phạt (Amber Capital),TT98/2020 quy định nghĩa vụ báo cáo của công ty quản lý quỹ,FACT,"S-VCAM-001,S-ENF-002,S-ENF-006","JD VCAM — Kế toán Quỹ mục 4: ""Lập các báo cáo định kỳ theo quy định pháp luật hiện hành (của UBCKNN và BTC)"",Thời báo Tài chính xử phạt Amber Capital",N,"_raw/jd/vietcapital-jd-ke-toan-quy.md; _raw/enforcement/thitruongtaichinhtiente-2-cong-ty-quan-ly-quy.md,_raw/enforcement/thoibaotaichinhvietnam-xu-phat.md",Vận hành
T-BO-021,Back Office,NAV & Fund Accounting,Lập báo cáo tài chính nội bộ,Lập báo cáo tài chính quỹ dùng trong quản lý đúng hạn và cẩn thận,Tổng hợp số liệu tài chính quỹ; lập báo cáo cho nhu cầu quản lý nội bộ,Sổ kế toán quỹ trong kỳ,Bộ phận kế toán quỹ,Báo cáo tài chính nội bộ,Ban lãnh đạo công ty quản lý quỹ,Kế toán Quỹ,,Định kỳ,,,,,Quy định nội bộ của công ty quản lý quỹ,FACT,S-VCAM-001,"JD VCAM — Kế toán Quỹ mục 1: ""Lập các báo cáo tài chính dùng trong việc quản lý đúng hạn và cẩn thận""",Y,_raw/jd/vietcapital-jd-ke-toan-quy.md,Vận hành
T-BO-022,Back Office,NAV & Fund Accounting,Cập nhật báo cáo nhà đầu tư,Cập nhật báo cáo nội bộ và báo cáo gửi nhà đầu tư theo kỳ,Tổng hợp thông tin danh mục; NAV; và hiệu suất để cập nhật báo cáo cho nhà đầu tư,Dữ liệu NAV + danh mục + kết quả kinh doanh trong kỳ,Bộ phận kế toán quỹ / đầu tư,Báo cáo nhà đầu tư (statement),Nhà đầu tư,Kế toán Quỹ,,Định kỳ,,,,Không thực hiện báo cáo tình hình danh mục đầu tư định kỳ hàng tháng cho khách hàng ủy thác (Amber Capital),Quy định công bố thông tin cho nhà đầu tư,FACT,"S-VCAM-001,S-ENF-006","JD VCAM — Kế toán Quỹ mục 3: ""Cập nhật báo cáo nội bộ; báo cáo gửi nhà đầu tư"",Thời báo Tài chính xử phạt Amber Capital",Y,"_raw/jd/vietcapital-jd-ke-toan-quy.md,_raw/enforcement/thoibaotaichinhvietnam-xu-phat.md",Vận hành
T-BO-023,Back Office,NAV & Fund Accounting,Quan hệ với tổ chức dịch vụ,Thiết lập và duy trì quan hệ với ngân hàng; công ty chứng khoán và các tổ chức cung cấp dịch vụ khác,Liên lạc; phối hợp và theo dõi dịch vụ từ các đối tác bên ngoài phục vụ hoạt động quỹ,Yêu cầu phối hợp và thông tin từ nội bộ,Nội bộ (kế toán quỹ / đầu tư),Quan hệ đối tác và dịch vụ được duy trì,Ngân hàng / Công ty chứng khoán / Tổ chức dịch vụ,Kế toán Quỹ,,Liên tục / định kỳ,,,,,Quy định phối hợp theo hợp đồng dịch vụ,FACT,S-VCAM-001,"JD VCAM — Kế toán Quỹ mục 2: ""Thiết lập quan hệ tốt với ngân hàng; công ty chứng khoán và các tổ chức cung cấp dịch vụ khác""",Y,_raw/jd/vietcapital-jd-ke-toan-quy.md,Vận hành
T-BO-024,Back Office,NAV & Fund Accounting,Chuẩn bị hồ sơ giao dịch và tái cân bằng,Hỗ trợ giám đốc quỹ chuẩn bị hồ sơ tái cân bằng danh mục; chuyển đổi; và thực hiện giao dịch mua bán chứng khoán,Chuẩn bị các tài liệu cần thiết cho lệnh giao dịch và tái cân bằng theo chỉ đạo của giám đốc quỹ,Chỉ thị đầu tư từ giám đốc quỹ,Bộ phận đầu tư,Hồ sơ lệnh giao dịch / tái cân bằng hoàn chỉnh,Giám đốc Quỹ / Bộ phận giao dịch,Chuyên viên phân tích / Kế toán Quỹ,,Theo nhu cầu,,,,,Quy định nội bộ công ty quản lý quỹ,FACT,S-VCAM-002,"JD VCAM — Analyst Officer mục Nhiệm vụ chính: ""Hỗ trợ Giám đốc Quỹ trong việc chuẩn bị hồ sơ tái cân bằng; chuyển đổi; giao dịch cũng như mua bán chứng khoán""",Y,_raw/jd/vietcapital-jd-analyst-officer-fund.md,Vận hành
T-BO-025,Back Office,NAV & Fund Accounting,Vận hành và điều hành quỹ,Phụ trách hoạt động và điều hành quỹ dưới sự giám sát của giám đốc quỹ,Thực hiện các công việc vận hành quỹ hàng ngày theo phân công từ giám đốc quỹ,Chỉ thị từ giám đốc quỹ,Bộ phận đầu tư,Quỹ hoạt động đúng theo điều lệ và quy định,Ban đại diện quỹ / UBCKNN,Chuyên viên phân tích,,Hàng ngày,,,,,Quy định nội bộ công ty quản lý quỹ,FACT,S-VCAM-002,"JD VCAM — Analyst Officer mục Nhiệm vụ chính: ""Phụ trách hoạt động và điều hành Quỹ; dưới sự giám sát của Giám đốc Quỹ""",Y,_raw/jd/vietcapital-jd-analyst-officer-fund.md,Vận hành
T-BO-026,Back Office,NAV & Fund Accounting,Đối chiếu sổ sách với fund administrator,Liên lạc với fund administrator để đảm bảo sổ sách và hồ sơ của hai bên khớp nhau,Gửi báo cáo nội bộ cho administrator; so sánh kết quả; xử lý chênh lệch,Sổ kế toán nội bộ,Bộ phận kế toán quỹ,Báo cáo đối chiếu đã xác nhận với administrator,Fund administrator,Kế toán Quỹ,,Định kỳ,,,,,Thực hành chuẩn fund accounting quốc tế,INFERENCE,S-VJ-001,"Velvetjobs Fund Accountant JD: ""Communicating with our fund administrator in order to ensure our books and records reconcile""",Y,_raw/jd/velvetjobs-jd-fund-accountant.md,Vận hành
T-BO-027,Back Office,NAV & Fund Accounting,Xử lý journal entry cuối tháng,Nhập journal entry hàng tháng và hoàn tất quy trình kết sổ cuối tháng (month-end close),Nhập các bút toán điều chỉnh cuối tháng; đối chiếu số dư; hoàn tất quy trình đóng sổ,Chứng từ giao dịch tháng + số dư tài khoản,Bộ phận kế toán quỹ,Sổ cái hoàn chỉnh sau kết sổ tháng,Kiểm toán / Ban lãnh đạo,Kế toán Quỹ,,Hàng tháng,,,,,Chuẩn mực kế toán quỹ đầu tư,INFERENCE,S-VJ-001,"Velvetjobs Fund Accountant JD: ""Entering monthly journal entries""; ""Provide support for accounting month end close""",Y,_raw/jd/velvetjobs-jd-fund-accountant.md,Vận hành
T-BO-028,Back Office,NAV & Fund Accounting,Chuẩn bị kiểm toán,Hỗ trợ chuẩn bị hồ sơ kiểm toán hàng năm và phản hồi yêu cầu từ kiểm toán viên,Tập hợp tài liệu; số liệu; giải trình theo yêu cầu của kiểm toán viên trong đợt kiểm toán,Sổ kế toán + chứng từ + hợp đồng liên quan,Bộ phận kế toán quỹ,Hồ sơ kiểm toán hoàn chỉnh,Công ty kiểm toán,Kế toán Quỹ,,Hàng năm,,,,,Luật kiểm toán; quy định kiểm toán quỹ theo TT98/2020,INFERENCE,S-JOBED-001,"Jobed.ai Fund Accountant JD: ""Assist with annual audits and respond to auditor requests""",Y,_raw/jd/jobed-ai-jd-fund-accountant.md,Vận hành
T-BO-029,Back Office,NAV & Fund Accounting,Tính NAV và định giá danh mục hàng ngày,Chuẩn bị và kiểm tra định giá danh mục quỹ và tính NAV hàng ngày; hàng tuần; hàng tháng,Thu thập giá tài sản; áp dụng phương pháp định giá; tổng hợp NAV theo lịch định giá,Giá tài sản từ thị trường + thông tin danh mục,Bộ phận kế toán quỹ,Báo cáo NAV và định giá danh mục chính thức,Ngân hàng giám sát / Nhà đầu tư,Kế toán Quỹ,,Hàng ngày/tuần/tháng,,,,,Quy định pháp luật về định giá tài sản quỹ,INFERENCE,S-JOBED-001,"Jobed.ai Fund Accountant JD: ""Prepare and review daily; weekly; and monthly fund valuations""",Y,_raw/jd/jobed-ai-jd-fund-accountant.md,Vận hành
T-BO-030,Back Office,NAV & Fund Accounting,Đối chiếu tiền và chứng khoán,Đối chiếu tiền mặt; vị thế và giao dịch của quỹ đầu tư giữa sổ sách nội bộ và tài khoản ngân hàng/lưu ký,So sánh số dư tiền và chứng khoán giữa hệ thống kế toán nội bộ với xác nhận từ ngân hàng giám sát/lưu ký,Sổ kế toán nội bộ + sao kê ngân hàng / tài khoản lưu ký,Ngân hàng giám sát / lưu ký,Báo cáo đối chiếu (reconciliation report),Bộ phận kế toán quỹ / kiểm toán,Kế toán Quỹ,,Hàng ngày,,,,,Thực hành chuẩn fund accounting quốc tế; TT98/2020 — ngân hàng giám sát kiểm tra xác nhận NAV,INFERENCE,"S-JOBED-001,S-JD-001","Jobed.ai Fund Accountant JD: ""Reconcile cash; positions; and transactions for investment funds""; JD HDCap: Đối chiếu số liệu CCQ với Đại lý phân phối và VSDC",Y,_raw/jd/jobed-ai-jd-fund-accountant.md; _raw/jd/hdcap-van-hanh.html,Vận hành
