uc_id,task_id,khoi_chuc_nang,ten_use_case,nang_luc_ai,ai_type,van_de_kinh_doanh,quy_trinh_hien_tai_theo_buoc,ai_lam_gi_o_buoc_nao,human_in_the_loop,du_lieu_can_co,rang_buoc_phap_ly,kpi_cai_thien,muc_do,source_ids,raw_ref,ghi_chu_thieu,co_pain_point_that,diem_gia_tri,diem_kha_thi,diem_du_lieu,diem_rui_ro,tong_diem,ro,ly_do_cham
UC-011,T-BO-022,NAV & Fund Accounting,AI sinh báo cáo phân tích danh mục cá nhân hóa cho nhà đầu tư,4-Sinh nội dung,AI Copilot,[INFERENCE] Cập nhật báo cáo cho NĐT tốn nhiều công sức để viết nhận định thị trường và phân tích hiệu suất quỹ.,1. Lấy hiệu suất quỹ. 2. Lấy dữ liệu TT. 3. Viết nhận định. 4. Gửi NĐT.,Bước 3: AI kết hợp NAV quỹ và tin tức thị trường để viết bản tin đầu tư định kỳ chuyên nghiệp.,Trưởng phòng vận hành duyệt bản tin.,"Dữ liệu NAV, Market News",Nội bộ,Sự hài lòng của khách hàng,CATALOGUE,S-VCAM-001,_raw/jd/vietcapital-jd-ke-toan-quy.md,Thiếu mẫu báo cáo gửi NĐT.,N,3,4,3,3,3.25,Chiến lược,Tự động hóa bản tin tháng giúp tiết kiệm công sức tổng hợp tin tức thị trường gửi NĐT | Việc kết hợp số liệu NAV và tin thị trường để sinh bài viết là thế mạnh của GenAI | Yêu cầu crawl thêm tin tức kinh tế vĩ mô từ các trang báo bên ngoài | Bản tin gửi ra đại chúng nếu sai sót thông tin sẽ ảnh hưởng uy tín quỹ.
UC-012,T-BO-023,NAV & Fund Accounting,AI Copilot quản lý liên lạc đối tác bên ngoài,4-Sinh nội dung,AI Copilot,"[INFERENCE] Tốn thời gian soạn email đốc thúc, theo dõi tiến độ dịch vụ (kiểm toán, định giá, luật sư).",1. Kiểm tra tiến độ. 2. Soạn email. 3. Phản hồi đối tác.,"Bước 2 & 3: AI tự động phân loại email đến, nháp phản hồi và nhắc lịch đốc thúc đối tác.",Chuyên viên duyệt và gửi email.,Lịch sử email giao tiếp,Nội bộ,Thời gian phản hồi email,CATALOGUE,S-VCAM-001,_raw/jd/vietcapital-jd-ke-toan-quy.md,Khó truy cập dữ liệu email thật.,N,2,5,4,4,3.55,Chiến lược,"Chỉ là tiện ích nháp email đốc thúc kiểm toán, luật sư, không tạo giá trị đột phá | Tích hợp AI vào email (như Copilot cho Outlook) là tính năng có sẵn, dễ dùng | Dữ liệu chỉ xoay quanh hòm thư cá nhân của nhân sự vận hành | Chuyên viên luôn tự đọc lại email trước khi bấm Gửi nên rất an toàn."
UC-013,T-BO-024,NAV & Fund Accounting,AI gợi ý kịch bản tái cân bằng danh mục,5-Dự báo & định lượng,AI Copilot,[INFERENCE] Tính toán khối lượng mua/bán tái cân bằng thủ công tốn thời gian tính toán chi phí giao dịch và tác động giá.,1. Nhận chỉ đạo tỷ trọng. 2. Tính số lượng mua/bán. 3. Lập lệnh giao dịch.,Bước 2: AI tối ưu hóa khối lượng đặt lệnh để giảm thiểu trượt giá (slippage) và phí giao dịch.,Giám đốc quỹ quyết định số lượng cuối cùng.,"Giá thị trường realtime, thanh khoản cổ phiếu",Nội bộ,Chi phí giao dịch / Slippage,CATALOGUE,S-VCAM-002,_raw/jd/vietcapital-jd-analyst-officer-fund.md,Cần mô hình chi phí giao dịch thực tế.,N,4,2,2,1,2.55,Nghiên cứu,"Tối ưu hóa khối lượng đặt lệnh giúp giảm trượt giá, bảo vệ lợi nhuận của Quỹ | Phải xây dựng mô hình thuật toán tối ưu hóa (slippage model) thay vì AI tạo sinh đơn thuần | Yêu cầu dữ liệu order book độ trễ thấp (realtime) từ HOSE/HNX rất tốn kém | Đặt lệnh sai khối lượng gây thiệt hại tài chính trực tiếp và ngay lập tức."
UC-014,T-BO-026,NAV & Fund Accounting,AI đối soát thông minh kết quả administrator,6-Phát hiện bất thường,RPA + AI,[INFERENCE] Đối chiếu dữ liệu từ Fund Administrator (file PDF/Excel khác chuẩn) mất nhiều công sức tìm chênh lệch nhỏ.,1. Nhận báo cáo Admin. 2. So khớp dòng dữ liệu. 3. Tìm lệch. 4. Xử lý.,Bước 2 & 3: AI mapping các cột dữ liệu không đồng nhất và highlight các khoản lệch tỷ giá hoặc sai số kế toán.,Kế toán kiểm tra các khoản lệch do AI chỉ ra.,"Báo cáo nội bộ, Báo cáo Fund Admin",Nội bộ,Thời gian đối soát,CATALOGUE,S-VJ-001,_raw/jd/velvetjobs-jd-fund-accountant.md,Thiếu sample báo cáo Admin.,N,4,4,3,5,3.90,Quick win,"Đối chiếu hàng ngàn dòng file của Fund Administrator bằng mắt rất mệt mỏi | Việc map các cột khác tên và tìm dòng chênh lệch bằng script rất khả thi và chính xác | File dữ liệu phụ thuộc vào định dạng xuất của đối tác Fund Administrator | Đây là chốt chặn kiểm tra lỗi, AI chỉ highlight nghi vấn nên không gây thêm rủi ro."
UC-015,T-BO-028,NAV & Fund Accounting,AI RAG trợ lý giải đáp kiểm toán,3-Tìm kiếm/hỏi đáp (RAG),AI Copilot,"[INFERENCE] Kế toán tốn hàng tuần để lục tìm chứng từ, hợp đồng, giải trình theo yêu cầu của kiểm toán.",1. Nhận yêu cầu kiểm toán. 2. Tìm tài liệu. 3. Trả lời. 4. Gửi file.,Bước 2 & 3: AI RAG tìm kiếm tức thì trong kho chứng từ hóa đơn để trả lời và trích xuất file cho kiểm toán.,Nhân sự xác nhận file trước khi gửi ra ngoài.,Kho tài liệu số hóa của Quỹ,Nội bộ,Thời gian phục vụ kiểm toán,CATALOGUE,S-JOBED-001,_raw/jd/jobed-ai-jd-fund-accountant.md,Thiếu kho dữ liệu chứng từ mẫu.,N,3,3,2,3,2.75,Nghiên cứu,"Giảm áp lực lục lọi hồ sơ trả lời câu hỏi bất chợt của kiểm toán viên | Việc bóc tách ý nghĩa từ hợp đồng phức tạp bằng RAG có thể bị ảo giác (hallucination) | Kho chứng từ lưu trữ lộn xộn, nhiều file pdf scan mờ, chữ ký chèn lên chữ | Rủi ro trung bình do người dùng luôn kiểm tra lại file gốc trước khi forward."
UC-016,T-BO-030,NAV & Fund Accounting,AI đối chiếu sổ phụ ngân hàng giám sát,1-Trích xuất & phân loại,RPA + AI,"[INFERENCE] Sổ phụ ngân hàng giám sát thường dưới dạng PDF scan, kế toán phải nhập tay để đối chiếu số dư.",1. Nhận sổ phụ PDF. 2. Đọc sao kê. 3. Khớp với ERP. 4. Đóng sổ.,Bước 2: AI dùng OCR bóc tách các dòng sao kê ngân hàng thành dữ liệu có cấu trúc để RPA đối chiếu.,Chuyên viên đối soát giao dịch lệch.,Sổ phụ ngân hàng PDF,TT98/2020,Thời gian đối soát ngân hàng,CATALOGUE,S-JOBED-001,_raw/jd/jobed-ai-jd-fund-accountant.md,Thiếu mẫu sổ phụ ngân hàng.,N,4,4,4,4,4.00,Quick win,"Nhập liệu sổ phụ ngân hàng PDF thủ công để đóng sổ hằng ngày cực kỳ tốn công | Các thư viện Table OCR hiện tại bóc tách định dạng sao kê ngân hàng rất tốt | File PDF được cung cấp định kỳ trực tiếp từ Ngân hàng giám sát | Chỉ dùng để đối chiếu khớp số dư ERP, chuyên viên kiểm tra lệnh lệch nên an toàn."
UC-017,T-BO-031,Transfer Agency & Nhà đầu tư,AI giám sát tuân thủ danh mục đầu tư thời gian thực,6-Phát hiện bất thường,AI Agent,Cơ cấu danh mục đầu tư vượt quá tỷ lệ quy định dẫn đến vi phạm và bị xử phạt.,1. Lấy vị thế quỹ. 2. So tỷ lệ trần/sàn. 3. Cảnh báo. 4. Bán cắt giảm.,Bước 2 & 3: AI giám sát liên tục theo thời gian thực và cảnh báo trước khi thực hiện lệnh nếu có rủi ro vi phạm hạn mức.,Tuân thủ viên chặn hoặc cho phép lệnh sau khi xem cảnh báo.,"Vị thế danh mục, giá TT, hạn mức rủi ro",Luật Chứng khoán,Số lỗi vi phạm hạn mức đầu tư,CATALOGUE,S-ENF-001,_raw/enforcement/kinhtetieudung-mb-penalty.md,Không thiếu. Đã xác minh có pain point thật.,Y,5,4,3,2,3.80,Quick win,"Cảnh báo chặn lệnh vượt rào, ngăn chặn trực tiếp rủi ro bị UBCK phạt như vụ MB Capital | Thuật toán tính tỷ lệ trần/sàn theo Luật là logic toán học rõ ràng, dễ lập trình | Cần liên kết realtime với Core giao dịch để chặn lệnh trước khi đẩy lên sàn | Bỏ sót vi phạm sẽ dẫn đến biên bản xử phạt hành chính nặng."
UC-018,T-BO-032,Reconciliation & Settlement,AI đối chiếu chéo kết quả giao dịch từ VSDC,6-Phát hiện bất thường,RPA + AI,"[INFERENCE] File kết quả VSDC định dạng cấu trúc cũ hoặc PDF, đối chiếu bằng mắt với ERP rất dễ sót lệnh.",1. Tải kết quả VSDC. 2. So với ERP nội bộ. 3. Tìm lệnh lệch. 4. Đánh dấu.,"Bước 2 & 3: AI đọc cấu trúc file báo cáo VSDC và tự động map dữ liệu, highlight điểm khác biệt giá/khối lượng.",Nhân sự back office tra soát thủ công những dòng lệch do AI báo.,File báo cáo kết quả giao dịch VSDC,Quy chế bù trừ thanh toán VSDC,Thời gian đối soát cuối ngày,CATALOGUE,S-VSD-001,_raw/legal/vbma-qd39.pdf,Thiếu sample file báo cáo của VSDC.,N,3,5,4,4,3.90,Quick win,"Giảm tải việc dò bằng mắt giữa bảng kê VSDC và sổ lệnh ERP nội bộ cuối ngày | File kết quả VSDC có cấu trúc cột chuẩn, dùng script đối chiếu dễ hơn dùng AI | File được tải trực tiếp từ cổng giao tiếp điện tử của VSDC | Mục đích là tra soát tìm lỗi, nhân viên vẫn là người quyết định xử lý chênh lệch."
UC-019,T-BO-034,Reconciliation & Settlement,AI gợi ý nguồn vốn bù đắp thanh khoản,5-Dự báo & định lượng,AI Copilot,[INFERENCE] Phát hiện thiếu tiền thanh toán nhưng không biết tối ưu nguồn tiền bù đắp từ đâu để giảm chi phí lãi vay.,1. Phát hiện thiếu tiền. 2. Lập đề nghị vay Quỹ hỗ trợ. 3. Trình ký.,Bước 2: AI phân tích dòng tiền và gợi ý nên vay Quỹ hỗ trợ VSDC hay vay liên ngân hàng dựa trên chi phí tối ưu.,Trưởng phòng ký duyệt phương án vay.,"Lãi suất vay ngắn hạn, số dư khả dụng",Quy chế bù trừ thanh toán VSDC,Chi phí sử dụng vốn,CATALOGUE,S-VSD-001,_raw/legal/vbma-qd39.pdf,Thiếu dữ liệu chi phí vay các nguồn thực tế.,N,2,2,2,2,2.00,Nghiên cứu,Tình huống thiếu tiền thanh toán bù trừ rất ít khi phát sinh trong quỹ lớn | Xây dựng mô hình tối ưu hóa chi phí vay vốn khá phức tạp so với tần suất sử dụng | Cần dữ liệu lãi suất vay liên ngân hàng biến động liên tục | Gợi ý vay sai nguồn làm quỹ phải chịu chi phí lãi vay cao hơn mức cần thiết.
UC-020,T-BO-038,Reconciliation & Settlement,AI tự động đối soát danh sách chốt quyền VSDC,1-Trích xuất & phân loại,RPA + AI,Bị VSD cảnh cáo do chậm xác nhận danh sách người sở hữu chứng khoán.,1. Nhận danh sách VSDC. 2. Khớp với sổ cổ đông nội bộ. 3. Xác nhận.,"Bước 2: AI tự động parse danh sách VSDC, đối chiếu chữ ký/thông tin với dữ liệu nội bộ và tự đánh dấu khớp.",Nhân sự duyệt nhanh kết quả khớp trước khi xác nhận với VSDC.,Danh sách chốt quyền từ VSDC,Quy chế thực hiện quyền VSDC,Tỷ lệ trễ hạn xác nhận danh sách,CATALOGUE,S-ENF-003,_raw/enforcement/tinnhanhchungkhoan-canh-cao.html,Thiếu sample danh sách chốt quyền của VSDC.,Y,5,4,4,3,4.20,Quick win,"Xử lý trực tiếp rủi ro bị VSDC ra văn bản cảnh cáo do chậm chốt danh sách cổ đông | Bóc tách và so khớp danh sách chốt quyền VSDC với Core nội bộ là bài toán OCR/RPA cơ bản | File danh sách được VSDC gửi sẵn, chỉ cần tải về xử lý | Kế toán viên kiểm tra lại các dòng cảnh báo lệnh khớp tên trước khi ký xác nhận."
UC-021,T-BO-040,Reconciliation & Settlement,AI Copilot soạn thảo hợp đồng chuyển nhượng OTC,4-Sinh nội dung,AI Copilot,"[INFERENCE] Soạn hợp đồng chuyển nhượng OTC thủ công dễ sai sót thông tin định danh và số lượng, gây rủi ro pháp lý.",1. Thỏa thuận giá. 2. Soạn hợp đồng. 3. Ký kết. 4. Sang tên.,Bước 2: AI tự động sinh hợp đồng chuẩn hóa từ form mẫu dựa trên thông tin định danh 2 bên và số lượng OTC.,Pháp chế / Back office soát xét lại hợp đồng.,"Thông tin định danh 2 bên, giá, khối lượng",Luật Chứng khoán,Thời gian soạn hợp đồng OTC,CATALOGUE,S-JD-002,_raw/jd/ambercapital-ho-tro-van-hanh.html,Thiếu mẫu hợp đồng chuyển nhượng OTC.,N,3,5,4,2,3.60,Chiến lược,Tiết kiệm thời gian tự gõ tay các hợp đồng chuyển nhượng chứng khoán OTC dài dòng | Dùng LLM hoặc template engine điền thông tin định danh vào form hợp đồng vô cùng dễ | Dữ liệu căn cước của 2 bên mua/bán đã có sẵn trên hệ thống quản lý cổ đông | Lỗi sai số lượng hoặc giá trị trên hợp đồng sẽ dẫn tới tranh chấp pháp lý phức tạp.
UC-022,T-BO-044,Reconciliation & Settlement,AI tự động bóc tách yêu cầu phong tỏa từ cơ quan chức năng,1-Trích xuất & phân loại,AI Copilot,"[INFERENCE] Quyết định phong tỏa tài khoản từ công an/tòa án dưới dạng văn bản scan, cần đọc kỹ và xử lý nhanh để tránh tẩu tán.",1. Nhận công văn tòa/công an. 2. Đọc thông tin TK. 3. Phong tỏa. 4. Báo cáo.,"Bước 2: AI OCR công văn pháp lý, bóc tách chính xác số tài khoản và lệnh yêu cầu phong tỏa.",Trưởng phòng kiểm tra đối chiếu công văn gốc trước khi khóa tài khoản.,Công văn phong tỏa bản scan/giấy,Quy chế lưu ký VSDC,Thời gian phản hồi lệnh phong tỏa,CATALOGUE,S-VSD-001,_raw/legal/vsd-luu-ky-chung-khoan.html,Thiếu mẫu công văn phong tỏa của nhà nước.,N,3,2,2,1,2.20,Nghiên cứu,"Xử lý các lệnh phong tỏa tài khoản mang tính khẩn cấp để chống tẩu tán tài sản | Công văn của tòa án/công an thường scan mờ, có dấu đỏ đè lên chữ khiến OCR hay đọc sai | Đầu vào là văn bản giấy do cán bộ mang tới, tính chuẩn hóa dữ liệu rất kém | Khóa nhầm tài khoản bị khách hàng kiện, khóa chậm bị cơ quan điều tra kỷ luật."
